Script,LTP
NIBD84,866.00
PBD85,847.00
EBLD86,825.10
GBILD86/87,853.10
PBLD87,836.40
BOKD86,874.00
SBID83,"1,000.00"
SBD87,890.00
NBLD87,863.00
SDBD87,900.00
NMBD87/88,882.00
NBLD85,880.00
NIBD2082,"1,025.50"
CCBD88,982.20
NBLD82,973.50
ICFCD83,"1,070.40"
CBLD88,971.00
PBLD86,915.30
SRD80,"1,032.00"
PBD88,999.40
LBLD86,973.00
SBIBD86,948.80
GWFD83,"1,100.00"
CIZBD86,967.00
GBBD85,928.20
NMBD2085,994.00
MFLD85,959.80
MBLD2085,"1,010.00"
NCCD86,"1,020.00"
PBLD84,"1,020.00"
KBLD86,975.00
SRBLD83,990.00
HBLD83,999.70
NICD83/84,"1,030.00"
NIFRAUR85/86,"1,000.00"
ADBLD83,"1,011.00"
SAND2085,990.00
SBLD83,"1,013.40"
SBLD2082,"1,025.00"
NBBD2085,990.00
GBD80/81,"1,040.50"
NICAD8283,"1,057.00"
NICAD8182,969.00
